Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),ENA Express support,On-Demand Linux pricing,On-Demand Ubuntu Pro pricing,On-Demand SUSE pricing,On-Demand Windows pricing,On-Demand RHEL pricing,On-Demand ap-southeast-2-akl-1 SUSE pricing,On-Demand ap-southeast-2-akl-1 Windows pricing,On-Demand ap-southeast-2-akl-1 RHEL pricing,On-Demand ap-southeast-2-akl-1 Linux pricing,On-Demand ap-southeast-2-akl-1 Ubuntu Pro pricing,On-Demand ap-southeast-2-per-1 SUSE pricing,On-Demand ap-southeast-2-per-1 Ubuntu Pro pricing,On-Demand ap-southeast-2-per-1 RHEL pricing,On-Demand ap-southeast-2-per-1 Windows pricing,On-Demand ap-southeast-2-per-1 Linux pricing
m5ad.xlarge,m5ad,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",2.2,16.0,150,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,true,-,True,1085,6000,135.625,2880,16000,360.0,False,0.26 USD per Hour,0.267 USD per Hour,0.316 USD per Hour,0.444 USD per Hour,0.318 USD per Hour,,,,,,,,,,
c6id.xlarge,c6id,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8.0,237,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.2646 USD per Hour,0.2716 USD per Hour,0.3209 USD per Hour,0.4486 USD per Hour,0.3222 USD per Hour,,,,,,,,,,
i3en.large,i3en,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.1,16.0,1250,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,576,3000,72.1,4750,20000,593.75,False,0.271 USD per Hour,0.275 USD per Hour,0.327 USD per Hour,0.363 USD per Hour,0.3 USD per Hour,,,,,,,,,,
c5n.xlarge,c5n,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",3.4,10.5,0,-,-,0,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,True,1150,6000,143.75,4750,20000,593.75,False,0.282 USD per Hour,0.289 USD per Hour,0.338 USD per Hour,0.466 USD per Hour,0.34 USD per Hour,,,,,,,,,,
m5d.xlarge,m5d,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",3.1,16.0,150,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,1150,6000,143.75,4750,18750,593.75,False,0.284 USD per Hour,0.291 USD per Hour,0.34 USD per Hour,0.468 USD per Hour,0.342 USD per Hour,,,,,,,,,,
inf1.xlarge,inf1,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",2.5,8.0,0,-,-,0,supported,default,Up to 25 Gigabit,required,4,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,True,1190,4000,148.75,4750,20000,593.75,False,0.285 USD per Hour,0.292 USD per Hour,0.342 USD per Hour,,0.343 USD per Hour,,,,,,,,,,
m7a.xlarge,m7a,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,4,"1,2,3,4",1,1,3.7,16.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.2898 USD per Hour,0.2968 USD per Hour,0.3461 USD per Hour,0.4738 USD per Hour,0.3474 USD per Hour,,,,,,,,,,
c6in.xlarge,c6in,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8.0,0,-,-,0,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,3125,12500,390.625,25000,100000,3125.0,False,0.2961 USD per Hour,,0.3524 USD per Hour,0.4801 USD per Hour,0.3537 USD per Hour,,,,,,,,,,
m6id.xlarge,m6id,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16.0,237,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.2982 USD per Hour,0.3052 USD per Hour,0.3545 USD per Hour,0.4822 USD per Hour,0.3558 USD per Hour,,,,,,,,,,
i7ie.large,i7ie,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.6,16.0,1250,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,625,2500,78.125,10000,40000,1250.0,False,0.3117 USD per Hour,0.3152 USD per Hour,0.368 USD per Hour,0.4037 USD per Hour,0.3405 USD per Hour,,,,,,,,,,
m6in.xlarge,m6in,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16.0,0,-,-,0,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,3125,12500,390.625,25000,100000,3125.0,False,0.351 USD per Hour,0.358 USD per Hour,0.4073 USD per Hour,0.535 USD per Hour,0.4086 USD per Hour,,,,,,,,,,
m6idn.xlarge,m6idn,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16.0,237,true,ssd,1,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,3125,12500,390.625,25000,100000,3125.0,False,0.40248 USD per Hour,0.40948 USD per Hour,0.45878 USD per Hour,0.58648 USD per Hour,0.46008 USD per Hour,,,,,,,,,,
m5zn.xlarge,m5zn,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",4.5,16.0,0,-,-,0,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,True,1564,6667,195.5,3170,13333,396.25,False,0.413 USD per Hour,0.42 USD per Hour,0.4693 USD per Hour,0.597 USD per Hour,0.4706 USD per Hour,,,,,,,,,,
d3en.xlarge,d3en,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,16.0,27960,true,hdd,2,supported,default,Up to 25 Gigabit,required,4,3,3,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,True,850,5000,106.25,2800,15000,350.0,False,0.659 USD per Hour,0.666 USD per Hour,0.715 USD per Hour,0.843 USD per Hour,0.717 USD per Hour,,,,,,,,,,
g4dn.xlarge,g4dn,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",2.5,16.0,125,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",1,0,-,unsupported,ebs,-,-,-,True,950,3000,118.75,3500,20000,437.5,False,0.684 USD per Hour,0.691 USD per Hour,0.74 USD per Hour,0.868 USD per Hour,0.742 USD per Hour,,,,,,,,,,
inf2.xlarge,inf2,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,16.0,0,-,-,0,supported,default,Up to 15 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,supported,ebs,-,-,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.98566 USD per Hour,,,,1.04326 USD per Hour,,,,,,,,,,
g6.xlarge,g6,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.4,16.0,250,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,0,-,unsupported,ebs,-,-,-,True,1000,4000,125.0,5000,20000,625.0,False,1.0464 USD per Hour,1.0534 USD per Hour,1.1027 USD per Hour,1.2304 USD per Hour,1.104 USD per Hour,,,,,,,,,,
g5.xlarge,g5,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,-,2,-,3.3,16.0,250,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,0,-,unsupported,ebs,-,-,-,True,700,3000,87.5,3500,15000,437.5,False,1.308 USD per Hour,1.315 USD per Hour,1.3643 USD per Hour,1.492 USD per Hour,1.3656 USD per Hour,,,,,,,,,,
